fold,condition,class_id,class_name,precision,recall,f1,support
10,clean,0,air_conditioner,0.48,0.6,0.5333333333333333,20
10,clean,1,car_horn,0.8571428571428571,0.9,0.8780487804878049,20
10,clean,2,children_playing,0.7391304347826086,0.85,0.7906976744186046,20
10,clean,3,dog_bark,0.8888888888888888,0.8,0.8421052631578947,20
10,clean,4,drilling,0.6,0.15,0.24,20
10,clean,5,engine_idling,0.85,0.85,0.85,20
10,clean,6,gun_shot,0.95,0.95,0.95,20
10,clean,7,jackhammer,0.7142857142857143,1.0,0.8333333333333334,20
10,clean,8,siren,0.95,0.95,0.95,20
10,clean,9,street_music,0.9,0.9,0.9,20
