split,level,class_id,precision,recall,f1,support
validation,segment,0,0.6181533646322379,0.5642857142857143,0.5899925317401046,700
validation,segment,1,0.5305164319248826,0.8432835820895522,0.6512968299711815,134
validation,segment,2,0.7349228611500701,0.7572254335260116,0.7459074733096085,692
validation,segment,3,0.575113808801214,0.7387914230019493,0.6467576791808873,513
validation,segment,4,0.8668076109936576,0.6581059390048154,0.7481751824817519,623
validation,segment,5,0.754601226993865,0.7711598746081505,0.7627906976744186,638
validation,segment,6,0.8,0.9855072463768116,0.8831168831168831,69
validation,segment,7,0.7420634920634921,0.9655765920826161,0.8391922213911742,581
validation,segment,8,0.8622589531680441,0.5670289855072463,0.6841530054644809,552
validation,segment,9,0.8613251155624037,0.7985714285714286,0.8287620459599704,700
validation,clip,0,0.6914893617021277,0.65,0.6701030927835051,100
validation,clip,1,0.6486486486486487,0.8888888888888888,0.75,27
validation,clip,2,0.8058252427184466,0.83,0.8177339901477833,100
validation,clip,3,0.6017699115044248,0.8095238095238095,0.6903553299492385,84
validation,clip,4,0.8941176470588236,0.7916666666666666,0.8397790055248618,96
validation,clip,5,0.797979797979798,0.8494623655913979,0.8229166666666666,93
validation,clip,6,0.9642857142857143,1.0,0.9818181818181818,27
validation,clip,7,0.8598130841121495,0.968421052631579,0.9108910891089109,95
validation,clip,8,1.0,0.5662650602409639,0.7230769230769231,83
validation,clip,9,0.9239130434782609,0.85,0.8854166666666666,100
test,segment,0,0.6841243862520459,0.5971428571428572,0.6376811594202898,700
test,segment,1,0.6588235294117647,0.9491525423728814,0.7777777777777778,59
test,segment,2,0.7656033287101248,0.8023255813953488,0.7835344215755855,688
test,segment,3,0.8017241379310345,0.6863468634686347,0.7395626242544732,542
test,segment,4,0.8969849246231156,0.6092150170648464,0.725609756097561,586
test,segment,5,0.6845753899480069,0.6340288924558587,0.6583333333333333,623
test,segment,6,0.6428571428571429,0.8372093023255814,0.7272727272727273,86
test,segment,7,0.616504854368932,0.9087656529516994,0.7346348517715112,559
test,segment,8,0.9446494464944649,0.9159212880143113,0.9300635785649409,559
test,segment,9,0.7721354166666666,0.8471428571428572,0.8079019073569482,700
test,clip,0,0.7619047619047619,0.64,0.6956521739130435,100
test,clip,1,0.9285714285714286,0.9285714285714286,0.9285714285714286,14
test,clip,2,0.9,0.9,0.9,100
test,clip,3,0.8902439024390244,0.7849462365591398,0.8342857142857143,93
test,clip,4,0.9846153846153847,0.6736842105263158,0.8,95
test,clip,5,0.6875,0.6179775280898876,0.650887573964497,89
test,clip,6,0.8787878787878788,1.0,0.9354838709677419,29
test,clip,7,0.6048387096774194,0.9146341463414634,0.7281553398058253,82
test,clip,8,0.9629629629629629,0.9512195121951219,0.9570552147239264,82
test,clip,9,0.7768595041322314,0.94,0.8506787330316742,100
