split,level,class_id,precision,recall,f1,support
validation,segment,0,0.6229235880398671,0.5357142857142857,0.576036866359447,700
validation,segment,1,0.5978260869565217,0.9322033898305084,0.7284768211920529,59
validation,segment,2,0.7911931818181818,0.809593023255814,0.8002873563218391,688
validation,segment,3,0.7841880341880342,0.6771217712177122,0.7267326732673267,542
validation,segment,4,0.868663594470046,0.643344709897611,0.7392156862745098,586
validation,segment,5,0.7512437810945274,0.7271268057784912,0.7389885807504079,623
validation,segment,6,0.6078431372549019,0.7209302325581395,0.6595744680851063,86
validation,segment,7,0.6711051930758988,0.9016100178890877,0.7694656488549618,559
validation,segment,8,0.9228007181328546,0.9194991055456172,0.921146953405018,559
validation,segment,9,0.7731305449936628,0.8714285714285714,0.8193418401611821,700
validation,clip,0,0.6666666666666666,0.54,0.5966850828729282,100
validation,clip,1,1.0,0.9285714285714286,0.9629629629629629,14
validation,clip,2,0.898989898989899,0.89,0.8944723618090452,100
validation,clip,3,0.9125,0.7849462365591398,0.8439306358381503,93
validation,clip,4,0.9315068493150684,0.7157894736842105,0.8095238095238095,95
validation,clip,5,0.7659574468085106,0.8089887640449438,0.7868852459016393,89
validation,clip,6,0.9032258064516129,0.9655172413793104,0.9333333333333333,29
validation,clip,7,0.7075471698113207,0.9146341463414634,0.7978723404255319,82
validation,clip,8,0.975,0.9512195121951219,0.9629629629629629,82
validation,clip,9,0.7716535433070866,0.98,0.8634361233480177,100
test,segment,0,0.6189376443418014,0.38285714285714284,0.4730803177405119,700
test,segment,1,0.45323741007194246,0.7974683544303798,0.5779816513761468,79
test,segment,2,0.7129186602870813,0.6422413793103449,0.6757369614512472,696
test,segment,3,0.8271334792122538,0.7339805825242719,0.7777777777777778,515
test,segment,4,0.6343963553530751,0.925249169435216,0.7527027027027027,602
test,segment,5,0.6218236173393124,0.7260034904013961,0.6698872785829307,573
test,segment,6,0.4367816091954023,0.9743589743589743,0.6031746031746031,39
test,segment,7,0.5121951219512195,0.3127659574468085,0.38837516512549536,470
test,segment,8,0.8531468531468531,0.8808664259927798,0.866785079928952,554
test,segment,9,0.7432605905006419,0.8271428571428572,0.7829614604462475,700
test,clip,0,0.6792452830188679,0.36,0.47058823529411764,100
test,clip,1,0.7222222222222222,0.8666666666666667,0.7878787878787878,15
test,clip,2,0.7659574468085106,0.72,0.7422680412371134,100
test,clip,3,0.9459459459459459,0.8235294117647058,0.8805031446540881,85
test,clip,4,0.6643835616438356,0.9797979797979798,0.7918367346938775,99
test,clip,5,0.64,0.7529411764705882,0.6918918918918919,85
test,clip,6,0.7619047619047619,1.0,0.8648648648648649,16
test,clip,7,0.6190476190476191,0.3466666666666667,0.4444444444444444,75
test,clip,8,0.8461538461538461,0.9625,0.9005847953216374,80
test,clip,9,0.7758620689655172,0.9,0.8333333333333334,100
