fold,condition,class_id,class_name,precision,recall,f1,support
1,bandlimit_8khz_roundtrip,0,air_conditioner,0.8636363636363636,0.95,0.9047619047619048,20
1,bandlimit_8khz_roundtrip,1,car_horn,0.7894736842105263,0.8823529411764706,0.8333333333333334,17
1,bandlimit_8khz_roundtrip,2,children_playing,0.9090909090909091,1.0,0.9523809523809523,20
1,bandlimit_8khz_roundtrip,3,dog_bark,0.59375,0.95,0.7307692307692307,20
1,bandlimit_8khz_roundtrip,4,drilling,0.7894736842105263,0.75,0.7692307692307693,20
1,bandlimit_8khz_roundtrip,5,engine_idling,0.0,0.0,0.0,20
1,bandlimit_8khz_roundtrip,6,gun_shot,1.0,0.95,0.9743589743589743,20
1,bandlimit_8khz_roundtrip,7,jackhammer,1.0,0.5,0.6666666666666666,20
1,bandlimit_8khz_roundtrip,8,siren,0.7391304347826086,0.85,0.7906976744186046,20
1,bandlimit_8khz_roundtrip,9,street_music,0.8421052631578947,0.8,0.8205128205128205,20
