fold,condition,class_id,class_name,precision,recall,f1,support
7,clean,0,air_conditioner,0.5882352941176471,1.0,0.7407407407407407,20
7,clean,1,car_horn,0.8571428571428571,0.9,0.8780487804878049,20
7,clean,2,children_playing,0.95,0.95,0.95,20
7,clean,3,dog_bark,1.0,0.8,0.8888888888888888,20
7,clean,4,drilling,1.0,1.0,1.0,20
7,clean,5,engine_idling,1.0,0.75,0.8571428571428571,20
7,clean,6,gun_shot,1.0,1.0,1.0,20
7,clean,7,jackhammer,0.8333333333333334,0.5,0.625,20
7,clean,8,siren,0.7647058823529411,0.65,0.7027027027027027,20
7,clean,9,street_music,0.8,1.0,0.8888888888888888,20
