fold,condition,class_id,class_name,precision,recall,f1,support
7,white_noise_snr_20db,0,air_conditioner,0.45454545454545453,1.0,0.625,20
7,white_noise_snr_20db,1,car_horn,0.8333333333333334,0.75,0.7894736842105263,20
7,white_noise_snr_20db,2,children_playing,0.8823529411764706,0.75,0.8108108108108109,20
7,white_noise_snr_20db,3,dog_bark,1.0,0.7,0.8235294117647058,20
7,white_noise_snr_20db,4,drilling,1.0,1.0,1.0,20
7,white_noise_snr_20db,5,engine_idling,1.0,0.5,0.6666666666666666,20
7,white_noise_snr_20db,6,gun_shot,1.0,0.95,0.9743589743589743,20
7,white_noise_snr_20db,7,jackhammer,0.7142857142857143,0.5,0.5882352941176471,20
7,white_noise_snr_20db,8,siren,0.8095238095238095,0.85,0.8292682926829268,20
7,white_noise_snr_20db,9,street_music,0.8260869565217391,0.95,0.8837209302325582,20
