epoch,loss,segment_accuracy,val_loss,val_segment_accuracy,validation_clip_macro_f1,improved
1,1.3746635913848877,0.6010767221450806,1.0498802661895752,0.7062718272209167,0.7957330026212721,True
2,0.8210607171058655,0.7409136295318604,0.8823990225791931,0.7136288285255432,0.8086246362623856,True
3,0.7041568756103516,0.7650130391120911,0.8769217133522034,0.7215375900268555,0.820534322418254,True
4,0.6458222270011902,0.777513325214386,0.8077352046966553,0.7301821112632751,0.8254776799796948,True
5,0.6131444573402405,0.7861780524253845,0.8162625432014465,0.7311016917228699,0.8268965048409788,True
6,0.5814986228942871,0.7949814200401306,0.8226575255393982,0.7340444922447205,0.825838743709606,False
7,0.5610845685005188,0.8003419637680054,0.8339846730232239,0.7228251099586487,0.8049864307858806,False
8,0.5466746687889099,0.8052635192871094,0.8037401437759399,0.7298142313957214,0.8221797767848962,False
9,0.5295891761779785,0.810600996017456,0.8191155791282654,0.7268714308738708,0.812051013730818,False
10,0.5175295472145081,0.8136971592903137,0.8009193539619446,0.7263196706771851,0.8143710310714699,False
