split,level,class_id,precision,recall,f1,support
validation,segment,0,0.3236994219653179,0.24,0.2756357670221493,700
validation,segment,1,0.8493150684931506,0.7948717948717948,0.8211920529801324,78
validation,segment,2,0.7712082262210797,0.8670520231213873,0.8163265306122449,692
validation,segment,3,0.7564870259481038,0.7625754527162978,0.7595190380761523,497
validation,segment,4,0.7151162790697675,0.8065573770491803,0.7580893682588598,610
validation,segment,5,0.6578125,0.562082777036048,0.6061915046796257,749
validation,segment,6,0.9818181818181818,0.9818181818181818,0.9818181818181818,55
validation,segment,7,0.5876010781671159,0.4579831932773109,0.5147579693034239,476
validation,segment,8,0.8351851851851851,0.880859375,0.8574144486692015,512
validation,segment,9,0.665929203539823,0.86,0.7506234413965087,700
validation,clip,0,0.32051282051282054,0.25,0.2808988764044944,100
validation,clip,1,1.0,0.8125,0.896551724137931,16
validation,clip,2,0.8135593220338984,0.96,0.8807339449541285,100
validation,clip,3,0.8571428571428571,0.896551724137931,0.8764044943820225,87
validation,clip,4,0.7699115044247787,0.8969072164948454,0.8285714285714286,97
validation,clip,5,0.7142857142857143,0.6074766355140186,0.6565656565656566,107
validation,clip,6,1.0,1.0,1.0,29
validation,clip,7,0.7142857142857143,0.4411764705882353,0.5454545454545454,68
validation,clip,8,0.8933333333333333,0.9054054054054054,0.8993288590604027,74
validation,clip,9,0.7109375,0.91,0.7982456140350878,100
test,segment,0,0.515695067264574,0.33045977011494254,0.4028021015761821,696
test,segment,1,0.9690140845070423,0.6335174953959485,0.7661469933184856,543
test,segment,2,0.7680763983628922,0.8171262699564587,0.7918424753867792,689
test,segment,3,0.8642533936651584,0.7360308285163777,0.7950052029136316,519
test,segment,4,0.6828046744574291,0.808300395256917,0.7402714932126697,506
test,segment,5,0.6155143338954469,0.5062413314840499,0.5555555555555556,721
test,segment,6,0.4778761061946903,0.9642857142857143,0.6390532544378699,56
test,segment,7,0.7123809523809523,0.9689119170984456,0.8210757409440176,772
test,segment,8,0.8778467908902692,0.902127659574468,0.8898216159496327,470
test,segment,9,0.7296037296037297,0.8942857142857142,0.803594351732991,700
test,clip,0,0.5671641791044776,0.38,0.4550898203592814,100
test,clip,1,1.0,0.7325581395348837,0.8456375838926175,86
test,clip,2,0.8584905660377359,0.91,0.883495145631068,100
test,clip,3,1.0,0.8352941176470589,0.9102564102564102,85
test,clip,4,0.78125,0.8620689655172413,0.819672131147541,87
test,clip,5,0.5806451612903226,0.5046728971962616,0.54,107
test,clip,6,0.7608695652173914,1.0,0.8641975308641975,35
test,clip,7,0.7452229299363057,0.975,0.8447653429602888,120
test,clip,8,0.9558823529411765,0.9420289855072463,0.948905109489051,69
test,clip,9,0.7868852459016393,0.96,0.8648648648648649,100
