fold,condition,class_id,class_name,precision,recall,f1,support
4,bandlimit_8khz_roundtrip,0,air_conditioner,0.5483870967741935,0.85,0.6666666666666666,20
4,bandlimit_8khz_roundtrip,1,car_horn,0.7692307692307693,0.5,0.6060606060606061,20
4,bandlimit_8khz_roundtrip,2,children_playing,0.5925925925925926,0.8,0.6808510638297872,20
4,bandlimit_8khz_roundtrip,3,dog_bark,1.0,0.85,0.918918918918919,20
4,bandlimit_8khz_roundtrip,4,drilling,0.7222222222222222,0.65,0.6842105263157895,20
4,bandlimit_8khz_roundtrip,5,engine_idling,0.7272727272727273,0.8,0.7619047619047619,20
4,bandlimit_8khz_roundtrip,6,gun_shot,0.9,0.9,0.9,20
4,bandlimit_8khz_roundtrip,7,jackhammer,0.21428571428571427,0.15,0.17647058823529413,20
4,bandlimit_8khz_roundtrip,8,siren,0.7916666666666666,0.95,0.8636363636363636,20
4,bandlimit_8khz_roundtrip,9,street_music,0.7142857142857143,0.5,0.5882352941176471,20
