fold,condition,class_id,class_name,precision,recall,f1,support
4,white_noise_snr_10db,0,air_conditioner,0.2898550724637681,1.0,0.449438202247191,20
4,white_noise_snr_10db,1,car_horn,1.0,0.3,0.46153846153846156,20
4,white_noise_snr_10db,2,children_playing,0.5714285714285714,0.6,0.5853658536585366,20
4,white_noise_snr_10db,3,dog_bark,0.9285714285714286,0.65,0.7647058823529411,20
4,white_noise_snr_10db,4,drilling,0.5833333333333334,0.7,0.6363636363636364,20
4,white_noise_snr_10db,5,engine_idling,0.8888888888888888,0.8,0.8421052631578947,20
4,white_noise_snr_10db,6,gun_shot,0.6666666666666666,0.5,0.5714285714285714,20
4,white_noise_snr_10db,7,jackhammer,0.08333333333333333,0.05,0.0625,20
4,white_noise_snr_10db,8,siren,0.8666666666666667,0.65,0.7428571428571429,20
4,white_noise_snr_10db,9,street_music,0.8333333333333334,0.25,0.38461538461538464,20
