split,level,class_id,precision,recall,f1,support
validation,segment,0,0.6640625,0.6071428571428571,0.6343283582089553,700
validation,segment,1,0.7598039215686274,0.5381944444444444,0.6300813008130082,288
validation,segment,2,0.7073509015256588,0.7412790697674418,0.7239176721078779,688
validation,segment,3,0.7631578947368421,0.7898832684824902,0.7762906309751434,514
validation,segment,4,0.7477203647416414,0.754601226993865,0.751145038167939,652
validation,segment,5,0.7659831121833535,0.8639455782312925,0.8120204603580563,735
validation,segment,6,0.6206896551724138,0.8780487804878049,0.7272727272727273,82
validation,segment,7,0.5904,0.6577540106951871,0.6222596964586846,561
validation,segment,8,0.8924268502581756,0.9342342342342342,0.9128521126760564,1110
validation,segment,9,0.7882136279926335,0.6114285714285714,0.6886564762670957,700
validation,clip,0,0.7391304347826086,0.68,0.7083333333333334,100
validation,clip,1,0.9117647058823529,0.62,0.7380952380952381,50
validation,clip,2,0.7631578947368421,0.87,0.8130841121495327,100
validation,clip,3,0.8350515463917526,0.8901098901098901,0.8617021276595744,91
validation,clip,4,0.8181818181818182,0.81,0.8140703517587939,100
validation,clip,5,0.8508771929824561,0.9065420560747663,0.8778280542986425,107
validation,clip,6,0.9032258064516129,0.9655172413793104,0.9333333333333333,29
validation,clip,7,0.71875,0.8214285714285714,0.7666666666666667,112
validation,clip,8,0.9107142857142857,0.95625,0.9329268292682927,160
validation,clip,9,0.9444444444444444,0.68,0.7906976744186046,100
test,segment,0,0.4233576642335766,0.3314285714285714,0.3717948717948718,700
test,segment,1,0.5047318611987381,0.9815950920245399,0.6666666666666666,163
test,segment,2,0.7421875,0.8213256484149856,0.7797537619699042,694
test,segment,3,0.5734072022160664,0.7652495378927912,0.6555819477434679,541
test,segment,4,0.5975609756097561,0.8191489361702128,0.691025641025641,658
test,segment,5,0.690677966101695,0.4490358126721763,0.5442404006677797,726
test,segment,6,0.6,0.890625,0.7169811320754716,64
test,segment,7,0.5505464480874317,0.522697795071336,0.5362608117099135,771
test,segment,8,0.9154727793696275,0.7726723095525998,0.8380327868852459,827
test,segment,9,0.7169491525423729,0.6042857142857143,0.6558139534883721,700
test,clip,0,0.6086956521739131,0.42,0.4970414201183432,100
test,clip,1,0.5952380952380952,1.0,0.746268656716418,25
test,clip,2,0.8053097345132744,0.91,0.8544600938967136,100
test,clip,3,0.6491228070175439,0.8409090909090909,0.7326732673267327,88
test,clip,4,0.6111111111111112,0.88,0.7213114754098361,100
test,clip,5,0.7777777777777778,0.46226415094339623,0.5798816568047337,106
test,clip,6,0.8571428571428571,1.0,0.9230769230769231,30
test,clip,7,0.5677966101694916,0.5726495726495726,0.5702127659574469,117
test,clip,8,0.9595959595959596,0.7983193277310925,0.8715596330275229,119
test,clip,9,0.7954545454545454,0.7,0.7446808510638298,100
