split,level,class_id,precision,recall,f1,support
validation,segment,0,0.4680648236415634,0.7014285714285714,0.5614636935391653,700
validation,segment,1,0.5126050420168067,0.8243243243243243,0.6321243523316062,74
validation,segment,2,0.856508875739645,0.8354978354978355,0.845872899926954,693
validation,segment,3,0.9130434782608695,0.8020833333333334,0.8539741219963032,576
validation,segment,4,0.7830188679245284,0.8457059679767104,0.8131560531840448,687
validation,segment,5,0.7327127659574468,0.7527322404371585,0.7425876010781671,732
validation,segment,6,0.9210526315789473,0.9722222222222222,0.9459459459459459,144
validation,segment,7,0.5034965034965035,0.1592920353982301,0.24201680672268908,452
validation,segment,8,0.8329355608591885,0.6883629191321499,0.7537796976241901,507
validation,segment,9,0.8514851485148515,0.86,0.8557213930348259,700
validation,clip,0,0.48322147651006714,0.72,0.5783132530120482,100
validation,clip,1,0.7307692307692307,0.95,0.8260869565217391,20
validation,clip,2,0.912621359223301,0.94,0.9261083743842364,100
validation,clip,3,1.0,0.9010989010989011,0.9479768786127167,91
validation,clip,4,0.7796610169491526,0.9292929292929293,0.847926267281106,99
validation,clip,5,0.75,0.7641509433962265,0.7570093457943925,106
validation,clip,6,1.0,1.0,1.0,38
validation,clip,7,0.8,0.15789473684210525,0.26373626373626374,76
validation,clip,8,0.8529411764705882,0.7945205479452054,0.8226950354609929,73
validation,clip,9,0.9375,0.9,0.9183673469387755,100
test,segment,0,0.37110481586402266,0.3742857142857143,0.37268847795163584,700
test,segment,1,0.44285714285714284,0.7948717948717948,0.5688073394495413,78
test,segment,2,0.8028169014084507,0.8236994219653179,0.8131241084165478,692
test,segment,3,0.7311411992263056,0.7605633802816901,0.7455621301775148,497
test,segment,4,0.8170731707317073,0.7688524590163934,0.7922297297297297,610
test,segment,5,0.6275752773375595,0.5287049399198932,0.5739130434782609,749
test,segment,6,0.9473684210526315,0.9818181818181818,0.9642857142857143,55
test,segment,7,0.547683923705722,0.4222689075630252,0.47686832740213525,476
test,segment,8,0.8452611218568665,0.853515625,0.8493683187560739,512
test,segment,9,0.6552941176470588,0.7957142857142857,0.7187096774193549,700
test,clip,0,0.45098039215686275,0.46,0.45544554455445546,100
test,clip,1,0.8333333333333334,0.9375,0.8823529411764706,16
test,clip,2,0.8932038834951457,0.92,0.9064039408866995,100
test,clip,3,0.8210526315789474,0.896551724137931,0.8571428571428571,87
test,clip,4,0.8924731182795699,0.8556701030927835,0.8736842105263158,97
test,clip,5,0.6276595744680851,0.5514018691588785,0.5870646766169154,107
test,clip,6,1.0,1.0,1.0,29
test,clip,7,0.6097560975609756,0.36764705882352944,0.45871559633027525,68
test,clip,8,0.9571428571428572,0.9054054054054054,0.9305555555555556,74
test,clip,9,0.6691729323308271,0.89,0.7639484978540773,100
