fold,condition,class_id,class_name,precision,recall,f1,support
1,white_noise_snr_20db,0,air_conditioner,1.0,0.5,0.6666666666666666,2
1,white_noise_snr_20db,1,car_horn,1.0,1.0,1.0,2
1,white_noise_snr_20db,2,children_playing,1.0,1.0,1.0,2
1,white_noise_snr_20db,3,dog_bark,0.5,1.0,0.6666666666666666,2
1,white_noise_snr_20db,4,drilling,1.0,1.0,1.0,2
1,white_noise_snr_20db,5,engine_idling,0.0,0.0,0.0,2
1,white_noise_snr_20db,6,gun_shot,1.0,1.0,1.0,2
1,white_noise_snr_20db,7,jackhammer,0.0,0.0,0.0,2
1,white_noise_snr_20db,8,siren,1.0,1.0,1.0,2
1,white_noise_snr_20db,9,street_music,1.0,1.0,1.0,2
