fold,condition,class_id,class_name,precision,recall,f1,support
1,white_noise_snr_10db,0,air_conditioner,0.6666666666666666,1.0,0.8,2
1,white_noise_snr_10db,1,car_horn,1.0,1.0,1.0,2
1,white_noise_snr_10db,2,children_playing,1.0,1.0,1.0,2
1,white_noise_snr_10db,3,dog_bark,0.5,1.0,0.6666666666666666,2
1,white_noise_snr_10db,4,drilling,0.6666666666666666,1.0,0.8,2
1,white_noise_snr_10db,5,engine_idling,0.0,0.0,0.0,2
1,white_noise_snr_10db,6,gun_shot,1.0,0.5,0.6666666666666666,2
1,white_noise_snr_10db,7,jackhammer,0.0,0.0,0.0,2
1,white_noise_snr_10db,8,siren,1.0,0.5,0.6666666666666666,2
1,white_noise_snr_10db,9,street_music,1.0,1.0,1.0,2
