epoch,loss,segment_accuracy,val_loss,val_segment_accuracy,validation_clip_macro_f1,improved
1,1.3501819372177124,0.613813579082489,1.0180875062942505,0.6956169009208679,0.7326023810337378,True
2,0.8028634190559387,0.7489765286445618,0.9068648219108582,0.7055600881576538,0.7448127391544765,True
3,0.6883553862571716,0.7724642753601074,0.8819268941879272,0.7134740352630615,0.7593798394066769,True
4,0.6300875544548035,0.7855231761932373,0.8725584149360657,0.716923713684082,0.7682225946719006,True
5,0.5963501334190369,0.7957232594490051,0.8759448528289795,0.7175324559211731,0.7769668420015515,True
6,0.5688198804855347,0.8030645847320557,0.8872765898704529,0.7161120176315308,0.7688231836841289,False
7,0.5467624068260193,0.8092624545097351,0.8919590711593628,0.7157061696052551,0.7711224590191543,False
8,0.5302848219871521,0.8143853545188904,0.8902727365493774,0.7146915793418884,0.7603568602377964,False
9,0.517439603805542,0.8177701830863953,0.909759521484375,0.7094155550003052,0.7565121207026543,False
10,0.5045291781425476,0.8217724561691284,0.9133545756340027,0.7059659361839294,0.7603445061466455,False
