fold,condition,class_id,class_name,precision,recall,f1,support
3,white_noise_snr_10db,0,air_conditioner,0.6060606060606061,1.0,0.7547169811320755,20
3,white_noise_snr_10db,1,car_horn,0.5,0.05,0.09090909090909091,20
3,white_noise_snr_10db,2,children_playing,0.6470588235294118,0.55,0.5945945945945946,20
3,white_noise_snr_10db,3,dog_bark,0.8636363636363636,0.95,0.9047619047619048,20
3,white_noise_snr_10db,4,drilling,0.3508771929824561,1.0,0.5194805194805194,20
3,white_noise_snr_10db,5,engine_idling,0.0,0.0,0.0,20
3,white_noise_snr_10db,6,gun_shot,0.6521739130434783,0.75,0.6976744186046512,20
3,white_noise_snr_10db,7,jackhammer,0.7222222222222222,0.65,0.6842105263157895,20
3,white_noise_snr_10db,8,siren,0.9473684210526315,0.9,0.9230769230769231,20
3,white_noise_snr_10db,9,street_music,1.0,0.4,0.5714285714285714,20
