fold,condition,class_id,class_name,precision,recall,f1,support
3,white_noise_snr_20db,0,air_conditioner,0.6666666666666666,0.7,0.6829268292682927,20
3,white_noise_snr_20db,1,car_horn,1.0,0.95,0.9743589743589743,20
3,white_noise_snr_20db,2,children_playing,1.0,0.7,0.8235294117647058,20
3,white_noise_snr_20db,3,dog_bark,0.8421052631578947,0.8,0.8205128205128205,20
3,white_noise_snr_20db,4,drilling,0.625,1.0,0.7692307692307693,20
3,white_noise_snr_20db,5,engine_idling,0.625,0.25,0.35714285714285715,20
3,white_noise_snr_20db,6,gun_shot,0.9090909090909091,1.0,0.9523809523809523,20
3,white_noise_snr_20db,7,jackhammer,0.625,0.75,0.6818181818181818,20
3,white_noise_snr_20db,8,siren,0.95,0.95,0.95,20
3,white_noise_snr_20db,9,street_music,0.8095238095238095,0.85,0.8292682926829268,20
