fold,condition,class_id,class_name,precision,recall,f1,support
6,white_noise_snr_10db,0,air_conditioner,0.33962264150943394,0.9,0.4931506849315068,20
6,white_noise_snr_10db,1,car_horn,0.6,0.5625,0.5806451612903226,16
6,white_noise_snr_10db,2,children_playing,0.6451612903225806,1.0,0.7843137254901961,20
6,white_noise_snr_10db,3,dog_bark,1.0,0.8,0.8888888888888888,20
6,white_noise_snr_10db,4,drilling,0.5806451612903226,0.9,0.7058823529411765,20
6,white_noise_snr_10db,5,engine_idling,1.0,0.65,0.7878787878787878,20
6,white_noise_snr_10db,6,gun_shot,1.0,0.7,0.8235294117647058,20
6,white_noise_snr_10db,7,jackhammer,0.5,0.25,0.3333333333333333,20
6,white_noise_snr_10db,8,siren,1.0,0.45,0.6206896551724138,20
6,white_noise_snr_10db,9,street_music,1.0,0.2,0.3333333333333333,20
