fold,condition,class_id,class_name,precision,recall,f1,support
6,bandlimit_8khz_roundtrip,0,air_conditioner,0.5769230769230769,0.75,0.6521739130434783,20
6,bandlimit_8khz_roundtrip,1,car_horn,1.0,0.75,0.8571428571428571,16
6,bandlimit_8khz_roundtrip,2,children_playing,0.9090909090909091,1.0,0.9523809523809523,20
6,bandlimit_8khz_roundtrip,3,dog_bark,0.95,0.95,0.95,20
6,bandlimit_8khz_roundtrip,4,drilling,0.6666666666666666,0.7,0.6829268292682927,20
6,bandlimit_8khz_roundtrip,5,engine_idling,0.6,0.75,0.6666666666666666,20
6,bandlimit_8khz_roundtrip,6,gun_shot,1.0,1.0,1.0,20
6,bandlimit_8khz_roundtrip,7,jackhammer,0.16666666666666666,0.1,0.125,20
6,bandlimit_8khz_roundtrip,8,siren,0.8125,0.65,0.7222222222222222,20
6,bandlimit_8khz_roundtrip,9,street_music,0.8636363636363636,0.95,0.9047619047619048,20
