split,level,class_id,precision,recall,f1,support
validation,segment,0,0.7114093959731543,0.6057142857142858,0.654320987654321,700
validation,segment,1,0.9230769230769231,0.4583333333333333,0.6125290023201856,288
validation,segment,2,0.6810228802153432,0.7354651162790697,0.7071977638015374,688
validation,segment,3,0.7408759124087592,0.7898832684824902,0.7645951035781544,514
validation,segment,4,0.696236559139785,0.7944785276073619,0.7421203438395415,652
validation,segment,5,0.7641509433962265,0.7714285714285715,0.7677725118483413,735
validation,segment,6,0.9315068493150684,0.8292682926829268,0.8774193548387097,82
validation,segment,7,0.5468998410174881,0.6131907308377896,0.5781512605042017,561
validation,segment,8,0.8951048951048951,0.9225225225225225,0.9086069210292813,1110
validation,segment,9,0.7065868263473054,0.6742857142857143,0.6900584795321637,700
validation,clip,0,0.7692307692307693,0.7,0.7329842931937173,100
validation,clip,1,0.9655172413793104,0.56,0.7088607594936709,50
validation,clip,2,0.7636363636363637,0.84,0.8,100
validation,clip,3,0.7920792079207921,0.8791208791208791,0.8333333333333334,91
validation,clip,4,0.7592592592592593,0.82,0.7884615384615384,100
validation,clip,5,0.8431372549019608,0.8037383177570093,0.8229665071770335,107
validation,clip,6,1.0,0.9310344827586207,0.9642857142857143,29
validation,clip,7,0.6746031746031746,0.7589285714285714,0.7142857142857143,112
validation,clip,8,0.9202453987730062,0.9375,0.9287925696594427,160
validation,clip,9,0.7934782608695652,0.73,0.7604166666666666,100
test,segment,0,0.37965260545905705,0.21857142857142858,0.2774252039891206,700
test,segment,1,0.728110599078341,0.9693251533742331,0.8315789473684211,163
test,segment,2,0.7366459627329193,0.8544668587896254,0.7911941294196131,694
test,segment,3,0.5774058577405857,0.7652495378927912,0.6581875993640699,541
test,segment,4,0.5562189054726369,0.8495440729483282,0.672279013830427,658
test,segment,5,0.6605960264900662,0.5495867768595041,0.6,726
test,segment,6,0.7777777777777778,0.875,0.8235294117647058,64
test,segment,7,0.5728,0.46433203631647213,0.5128939828080229,771
test,segment,8,0.9108910891089109,0.7787182587666264,0.8396349413298566,827
test,segment,9,0.6894049346879536,0.6785714285714286,0.6839452843772498,700
test,clip,0,0.5,0.23,0.3150684931506849,100
test,clip,1,0.78125,1.0,0.8771929824561403,25
test,clip,2,0.8070175438596491,0.92,0.8598130841121495,100
test,clip,3,0.6428571428571429,0.8181818181818182,0.72,88
test,clip,4,0.5481927710843374,0.91,0.6842105263157895,100
test,clip,5,0.7011494252873564,0.5754716981132075,0.6321243523316062,106
test,clip,6,0.967741935483871,1.0,0.9836065573770492,30
test,clip,7,0.5894736842105263,0.47863247863247865,0.5283018867924528,117
test,clip,8,0.9504950495049505,0.8067226890756303,0.8727272727272727,119
test,clip,9,0.7425742574257426,0.75,0.746268656716418,100
