epoch,loss,segment_accuracy,val_loss,val_segment_accuracy,validation_clip_macro_f1,improved
1,0.9245080351829529,0.6857826709747314,0.756109356880188,0.7526445984840393,0.8214386260976696,True
2,0.5592723488807678,0.7960252165794373,0.7489368915557861,0.7515867352485657,0.818260243801836,False
3,0.49202001094818115,0.8169651031494141,0.7533866167068481,0.750881552696228,0.8250161355070423,True
4,0.451194167137146,0.8316751718521118,0.7738996148109436,0.7475317120552063,0.8198711054949392,False
5,0.4238825738430023,0.8422873020172119,0.7915750741958618,0.7485895752906799,0.8226817420396877,False
6,0.39749452471733093,0.8517149686813354,0.8162614703178406,0.7448871731758118,0.8260883795486507,True
7,0.37762516736984253,0.8584896922111511,0.7963859438896179,0.7482369542121887,0.820126246605499,False
8,0.3631148934364319,0.862374484539032,0.8351701498031616,0.736248254776001,0.809467106044982,False
9,0.34539639949798584,0.8700729608535767,0.8234211802482605,0.7434767484664917,0.8188153999779562,False
10,0.330935537815094,0.8752842545509338,0.8639539480209351,0.7394217252731323,0.8145848272204026,False
11,0.3191258907318115,0.8795243501663208,0.8424051403999329,0.7404795289039612,0.8117304595913402,False
