split,level,class_id,precision,recall,f1,support
validation,segment,0,0.6286836935166994,0.45977011494252873,0.5311203319502075,696
validation,segment,1,0.8810572687224669,0.7366482504604052,0.802407221664995,543
validation,segment,2,0.810966810966811,0.8156748911465893,0.8133140376266281,689
validation,segment,3,0.9396135265700483,0.7495183044315993,0.8338692390139335,519
validation,segment,4,0.7010869565217391,0.7648221343873518,0.7315689981096408,506
validation,segment,5,0.6208695652173913,0.49514563106796117,0.5509259259259259,721
validation,segment,6,0.3416149068322981,0.9821428571428571,0.5069124423963134,56
validation,segment,7,0.6772151898734177,0.9702072538860104,0.7976570820021299,772
validation,segment,8,0.8850102669404517,0.9170212765957447,0.9007314524555904,470
validation,segment,9,0.79750346740638,0.8214285714285714,0.8092892329345531,700
validation,clip,0,0.704225352112676,0.5,0.5847953216374269,100
validation,clip,1,0.92,0.8023255813953488,0.8571428571428571,86
validation,clip,2,0.898989898989899,0.89,0.8944723618090452,100
validation,clip,3,0.9866666666666667,0.8705882352941177,0.925,85
validation,clip,4,0.8222222222222222,0.8505747126436781,0.8361581920903954,87
validation,clip,5,0.65,0.6074766355140186,0.6280193236714976,107
validation,clip,6,0.7291666666666666,1.0,0.8433734939759037,35
validation,clip,7,0.732484076433121,0.9583333333333334,0.8303249097472925,120
validation,clip,8,0.9852941176470589,0.9710144927536232,0.9781021897810219,69
validation,clip,9,0.8584905660377359,0.91,0.883495145631068,100
test,segment,0,0.6463815789473685,0.5614285714285714,0.6009174311926605,700
test,segment,1,0.79375,0.4409722222222222,0.5669642857142857,288
test,segment,2,0.7065527065527065,0.7209302325581395,0.7136690647482015,688
test,segment,3,0.7827788649706457,0.7782101167315175,0.7804878048780488,514
test,segment,4,0.7347560975609756,0.7392638036809815,0.7370030581039755,652
test,segment,5,0.7462121212121212,0.8040816326530612,0.7740667976424361,735
test,segment,6,0.578125,0.9024390243902439,0.7047619047619048,82
test,segment,7,0.5126050420168067,0.6524064171122995,0.5741176470588235,561
test,segment,8,0.888034188034188,0.936036036036036,0.9114035087719298,1110
test,segment,9,0.7589134125636672,0.6385714285714286,0.6935608999224204,700
test,clip,0,0.7032967032967034,0.64,0.6701570680628273,100
test,clip,1,0.9354838709677419,0.58,0.7160493827160493,50
test,clip,2,0.7522123893805309,0.85,0.7981220657276995,100
test,clip,3,0.8681318681318682,0.8681318681318682,0.8681318681318682,91
test,clip,4,0.7916666666666666,0.76,0.7755102040816326,100
test,clip,5,0.822429906542056,0.822429906542056,0.822429906542056,107
test,clip,6,0.8,0.9655172413793104,0.875,29
test,clip,7,0.6027397260273972,0.7857142857142857,0.6821705426356589,112
test,clip,8,0.9101796407185628,0.95,0.9296636085626911,160
test,clip,9,0.9305555555555556,0.67,0.7790697674418605,100
