split,level,class_id,precision,recall,f1,support
validation,segment,0,0.3221476510067114,0.2742857142857143,0.2962962962962963,700
validation,segment,1,0.33548387096774196,0.6666666666666666,0.44635193133047213,78
validation,segment,2,0.797752808988764,0.8208092485549133,0.8091168091168092,692
validation,segment,3,0.7124060150375939,0.7625754527162978,0.7366375121477162,497
validation,segment,4,0.7874564459930313,0.740983606557377,0.7635135135135135,610
validation,segment,5,0.6143695014662757,0.5594125500667557,0.5856044723969253,749
validation,segment,6,0.9473684210526315,0.9818181818181818,0.9642857142857143,55
validation,segment,7,0.5130208333333334,0.41386554621848737,0.45813953488372094,476
validation,segment,8,0.8624031007751938,0.869140625,0.8657587548638133,512
validation,segment,9,0.6492450638792102,0.7985714285714286,0.7162075592568866,700
validation,clip,0,0.40476190476190477,0.34,0.3695652173913043,100
validation,clip,1,0.9333333333333333,0.875,0.9032258064516129,16
validation,clip,2,0.8703703703703703,0.94,0.9038461538461539,100
validation,clip,3,0.7920792079207921,0.9195402298850575,0.851063829787234,87
validation,clip,4,0.9,0.8350515463917526,0.8663101604278075,97
validation,clip,5,0.6226415094339622,0.616822429906542,0.6197183098591549,107
validation,clip,6,1.0,1.0,1.0,29
validation,clip,7,0.6153846153846154,0.35294117647058826,0.4485981308411215,68
validation,clip,8,0.971830985915493,0.9324324324324325,0.9517241379310345,74
validation,clip,9,0.6666666666666666,0.9,0.7659574468085106,100
test,segment,0,0.5932203389830508,0.40229885057471265,0.4794520547945205,696
test,segment,1,0.8517034068136272,0.7826887661141805,0.8157389635316699,543
test,segment,2,0.8094555873925502,0.8200290275761973,0.8147080028839221,689
test,segment,3,0.9272300469483568,0.7610789980732178,0.8359788359788359,519
test,segment,4,0.7495395948434622,0.8043478260869565,0.7759771210676835,506
test,segment,5,0.6216666666666667,0.5173370319001387,0.5647236941710825,721
test,segment,6,0.3125,0.9821428571428571,0.47413793103448276,56
test,segment,7,0.7129094412331407,0.9585492227979274,0.8176795580110497,772
test,segment,8,0.8752556237218814,0.9106382978723404,0.8925964546402503,470
test,segment,9,0.8248974008207934,0.8614285714285714,0.8427672955974843,700
test,clip,0,0.6666666666666666,0.46,0.5443786982248521,100
test,clip,1,0.9156626506024096,0.8837209302325582,0.8994082840236687,86
test,clip,2,0.9183673469387755,0.9,0.9090909090909091,100
test,clip,3,0.9866666666666667,0.8705882352941177,0.925,85
test,clip,4,0.8505747126436781,0.8505747126436781,0.8505747126436781,87
test,clip,5,0.6,0.5607476635514018,0.5797101449275363,107
test,clip,6,0.660377358490566,1.0,0.7954545454545454,35
test,clip,7,0.7368421052631579,0.9333333333333333,0.8235294117647058,120
test,clip,8,0.9710144927536232,0.9710144927536232,0.9710144927536232,69
test,clip,9,0.9223300970873787,0.95,0.9359605911330049,100
