fold,condition,class_id,class_name,precision,recall,f1,support
8,white_noise_snr_0db,0,air_conditioner,0.26666666666666666,1.0,0.42105263157894735,20
8,white_noise_snr_0db,1,car_horn,1.0,0.06666666666666667,0.125,15
8,white_noise_snr_0db,2,children_playing,0.26666666666666666,0.2,0.22857142857142856,20
8,white_noise_snr_0db,3,dog_bark,0.75,0.6,0.6666666666666666,20
8,white_noise_snr_0db,4,drilling,0.24324324324324326,0.9,0.3829787234042553,20
8,white_noise_snr_0db,5,engine_idling,0.0,0.0,0.0,20
8,white_noise_snr_0db,6,gun_shot,1.0,0.3125,0.47619047619047616,16
8,white_noise_snr_0db,7,jackhammer,0.0,0.0,0.0,20
8,white_noise_snr_0db,8,siren,1.0,0.2,0.3333333333333333,20
8,white_noise_snr_0db,9,street_music,0.0,0.0,0.0,20
