epoch,loss,segment_accuracy,val_loss,val_segment_accuracy,validation_clip_macro_f1,improved
1,0.9235358238220215,0.6917795538902283,0.9040529727935791,0.7001304030418396,0.7414273131793957,True
2,0.5748690366744995,0.7926563620567322,0.8251999616622925,0.7036691904067993,0.7621850569558,True
3,0.5056012272834778,0.8160141110420227,0.8245005011558533,0.7064630389213562,0.7688528867434945,True
4,0.46493756771087646,0.8307663798332214,0.8307907581329346,0.7016203999519348,0.7656607923616292,False
5,0.435228168964386,0.8396733999252319,0.8575829267501831,0.6988266110420227,0.764600976151834,False
6,0.4112812578678131,0.8507376313209534,0.8541035056114197,0.6941702365875244,0.7595152213981982,False
7,0.38813453912734985,0.8560493588447571,0.8476272225379944,0.6965915560722351,0.765706569926349,False
8,0.36966612935066223,0.8620569705963135,0.8467979431152344,0.7003166079521179,0.7721017578160346,True
9,0.3541131913661957,0.8682501316070557,0.9032806754112244,0.6926801800727844,0.7582035772791856,False
10,0.34160101413726807,0.8739098310470581,0.9091416597366333,0.6887688636779785,0.7484465262879365,False
11,0.32887935638427734,0.8770644068717957,0.9122669696807861,0.6897001266479492,0.7543613040107869,False
12,0.3174995481967926,0.8797318339347839,0.8954052329063416,0.6904451251029968,0.7654448825246848,False
13,0.3072844445705414,0.8846956491470337,0.9286408424377441,0.6932389736175537,0.774964247581462,True
14,0.29751521348953247,0.888476550579071,0.9559429883956909,0.6828086972236633,0.7527541437108395,False
15,0.28938883543014526,0.889218807220459,0.9499800205230713,0.6859750151634216,0.7617820425195478,False
16,0.27819353342056274,0.8942521810531616,0.9751328229904175,0.6848574876785278,0.7469059313732545,False
17,0.26956212520599365,0.897592306137085,0.9651647210121155,0.6874650716781616,0.7589315574402872,False
18,0.2600046694278717,0.9005381464958191,0.9871870875358582,0.6809461712837219,0.7508104447676296,False
