split,level,class_id,precision,recall,f1,support
validation,segment,0,0.6046065259117083,0.4525862068965517,0.5176663927691043,696
validation,segment,1,0.9817518248175182,0.4953959484346225,0.6585067319461444,543
validation,segment,2,0.7533512064343163,0.8156748911465893,0.7832752613240418,689
validation,segment,3,0.9014084507042254,0.7398843930635838,0.8126984126984127,519
validation,segment,4,0.688663282571912,0.8043478260869565,0.7420237010027347,506
validation,segment,5,0.6791744840525328,0.5020804438280166,0.5773524720893142,721
validation,segment,6,0.43902439024390244,0.9642857142857143,0.6033519553072626,56
validation,segment,7,0.6923076923076923,0.9792746113989638,0.8111587982832618,772
validation,segment,8,0.8629032258064516,0.9106382978723404,0.8861283643892339,470
validation,segment,9,0.7011494252873564,0.8714285714285714,0.7770700636942676,700
validation,clip,0,0.6052631578947368,0.46,0.5227272727272727,100
validation,clip,1,1.0,0.5697674418604651,0.725925925925926,86
validation,clip,2,0.8557692307692307,0.89,0.8725490196078431,100
validation,clip,3,0.9861111111111112,0.8352941176470589,0.9044585987261147,85
validation,clip,4,0.7777777777777778,0.8850574712643678,0.8279569892473119,87
validation,clip,5,0.691358024691358,0.5233644859813084,0.5957446808510638,107
validation,clip,6,0.7446808510638298,1.0,0.8536585365853658,35
validation,clip,7,0.7151515151515152,0.9833333333333333,0.8280701754385965,120
validation,clip,8,0.9565217391304348,0.9565217391304348,0.9565217391304348,69
validation,clip,9,0.7401574803149606,0.94,0.8281938325991189,100
test,segment,0,0.6984126984126984,0.5657142857142857,0.6250986582478295,700
test,segment,1,0.8953488372093024,0.2673611111111111,0.4117647058823529,288
test,segment,2,0.6662269129287599,0.7340116279069767,0.6984785615491009,688
test,segment,3,0.7527472527472527,0.7996108949416343,0.7754716981132076,514
test,segment,4,0.7367624810892587,0.7469325153374233,0.7418126428027418,652
test,segment,5,0.7315270935960592,0.8081632653061225,0.7679379444085327,735
test,segment,6,0.8255813953488372,0.8658536585365854,0.8452380952380952,82
test,segment,7,0.5310650887573964,0.6399286987522281,0.5804365400161682,561
test,segment,8,0.8772532188841202,0.9207207207207208,0.8984615384615384,1110
test,segment,9,0.6924219910846954,0.6657142857142857,0.6788055353241078,700
test,clip,0,0.7252747252747253,0.66,0.6910994764397905,100
test,clip,1,0.9444444444444444,0.34,0.5,50
test,clip,2,0.7327586206896551,0.85,0.7870370370370371,100
test,clip,3,0.8247422680412371,0.8791208791208791,0.851063829787234,91
test,clip,4,0.8387096774193549,0.78,0.8082901554404145,100
test,clip,5,0.8053097345132744,0.8504672897196262,0.8272727272727273,107
test,clip,6,0.9629629629629629,0.896551724137931,0.9285714285714286,29
test,clip,7,0.664179104477612,0.7946428571428571,0.7235772357723578,112
test,clip,8,0.8771929824561403,0.9375,0.9063444108761329,160
test,clip,9,0.7752808988764045,0.69,0.7301587301587301,100
