split,level,class_id,precision,recall,f1,support
validation,segment,0,0.7339246119733924,0.47285714285714286,0.575152041702867,700
validation,segment,1,0.47058823529411764,0.810126582278481,0.5953488372093023,79
validation,segment,2,0.710236220472441,0.6479885057471264,0.6776859504132231,696
validation,segment,3,0.7766599597585513,0.7495145631067961,0.7628458498023716,515
validation,segment,4,0.611358574610245,0.9119601328903655,0.732,602
validation,segment,5,0.6949640287769784,0.8429319371727748,0.7618296529968455,573
validation,segment,6,0.49333333333333335,0.9487179487179487,0.6491228070175439,39
validation,segment,7,0.5282258064516129,0.27872340425531916,0.3649025069637883,470
validation,segment,8,0.8613678373382625,0.8411552346570397,0.8511415525114155,554
validation,segment,9,0.7579787234042553,0.8142857142857143,0.7851239669421488,700
validation,clip,0,0.875,0.49,0.6282051282051282,100
validation,clip,1,0.7368421052631579,0.9333333333333333,0.8235294117647058,15
validation,clip,2,0.74,0.74,0.74,100
validation,clip,3,0.8902439024390244,0.8588235294117647,0.874251497005988,85
validation,clip,4,0.6551724137931034,0.9595959595959596,0.7786885245901639,99
validation,clip,5,0.7238095238095238,0.8941176470588236,0.8,85
validation,clip,6,0.8888888888888888,1.0,0.9411764705882353,16
validation,clip,7,0.6,0.28,0.38181818181818183,75
validation,clip,8,0.8705882352941177,0.925,0.896969696969697,80
validation,clip,9,0.8,0.88,0.8380952380952381,100
test,segment,0,0.501577287066246,0.6814285714285714,0.577831617201696,700
test,segment,1,0.5086206896551724,0.7972972972972973,0.6210526315789474,74
test,segment,2,0.8913738019169329,0.8051948051948052,0.846095526914329,693
test,segment,3,0.8913443830570903,0.8402777777777778,0.8650580875781948,576
test,segment,4,0.7828348504551366,0.87627365356623,0.8269230769230769,687
test,segment,5,0.7195266272189349,0.8306010928961749,0.7710843373493976,732
test,segment,6,0.9161290322580645,0.9861111111111112,0.9498327759197325,144
test,segment,7,0.539568345323741,0.16592920353982302,0.25380710659898476,452
test,segment,8,0.8557692307692307,0.7021696252465484,0.771397616468039,507
test,segment,9,0.8666666666666667,0.8728571428571429,0.8697508896797153,700
test,clip,0,0.5373134328358209,0.72,0.6153846153846154,100
test,clip,1,0.75,0.9,0.8181818181818182,20
test,clip,2,0.9405940594059405,0.95,0.945273631840796,100
test,clip,3,0.9770114942528736,0.9340659340659341,0.9550561797752809,91
test,clip,4,0.7833333333333333,0.9494949494949495,0.8584474885844748,99
test,clip,5,0.7647058823529411,0.8584905660377359,0.8088888888888889,106
test,clip,6,1.0,1.0,1.0,38
test,clip,7,0.7222222222222222,0.17105263157894737,0.2765957446808511,76
test,clip,8,0.875,0.7671232876712328,0.8175182481751825,73
test,clip,9,0.9285714285714286,0.91,0.9191919191919192,100
