epoch,loss,segment_accuracy,val_loss,val_segment_accuracy,validation_clip_macro_f1,improved
1,1.3545790910720825,0.6100984215736389,0.9612635374069214,0.7385339140892029,0.8018480756327957,True
2,0.8009083271026611,0.7496354579925537,0.8443752527236938,0.7491179704666138,0.8201980122592264,True
3,0.6839542388916016,0.772990345954895,0.8198498487472534,0.74931401014328,0.8252706814107607,True
4,0.6261299848556519,0.7856589555740356,0.8169859051704407,0.7504900097846985,0.8261734378580068,False
5,0.5885199308395386,0.7957984209060669,0.8114123940467834,0.7540180087089539,0.8318296661430507,True
6,0.561738908290863,0.8034542202949524,0.8096117377281189,0.7559780478477478,0.8300196511899717,False
7,0.5407096147537231,0.8091505765914917,0.8257801532745361,0.7508820295333862,0.8248991231740224,False
8,0.5248310565948486,0.8139810562133789,0.8296612501144409,0.7528420090675354,0.8213671611103486,False
9,0.5108477473258972,0.8192444443702698,0.825583279132843,0.7569580674171448,0.8312716123455491,False
10,0.5006842017173767,0.8215685486793518,0.8422072529792786,0.7532340288162231,0.8239983948231521,False
