fold,condition,class_id,class_name,precision,recall,f1,support
9,white_noise_snr_0db,0,air_conditioner,0.3076923076923077,1.0,0.47058823529411764,20
9,white_noise_snr_0db,1,car_horn,1.0,0.14285714285714285,0.25,14
9,white_noise_snr_0db,2,children_playing,0.8125,0.65,0.7222222222222222,20
9,white_noise_snr_0db,3,dog_bark,0.8636363636363636,0.95,0.9047619047619048,20
9,white_noise_snr_0db,4,drilling,0.5,0.95,0.6551724137931034,20
9,white_noise_snr_0db,5,engine_idling,0.0,0.0,0.0,20
9,white_noise_snr_0db,6,gun_shot,1.0,0.35,0.5185185185185185,20
9,white_noise_snr_0db,7,jackhammer,0.9090909090909091,1.0,0.9523809523809523,20
9,white_noise_snr_0db,8,siren,1.0,1.0,1.0,20
9,white_noise_snr_0db,9,street_music,1.0,0.1,0.18181818181818182,20
