fold,condition,class_id,class_name,precision,recall,f1,support
9,clean,0,air_conditioner,0.8695652173913043,1.0,0.9302325581395349,20
9,clean,1,car_horn,1.0,0.9285714285714286,0.9629629629629629,14
9,clean,2,children_playing,1.0,0.85,0.918918918918919,20
9,clean,3,dog_bark,0.8695652173913043,1.0,0.9302325581395349,20
9,clean,4,drilling,1.0,1.0,1.0,20
9,clean,5,engine_idling,1.0,0.9,0.9473684210526315,20
9,clean,6,gun_shot,1.0,1.0,1.0,20
9,clean,7,jackhammer,1.0,1.0,1.0,20
9,clean,8,siren,1.0,1.0,1.0,20
9,clean,9,street_music,1.0,1.0,1.0,20
