split,level,class_id,precision,recall,f1,support
validation,segment,0,0.6702290076335878,0.6307471264367817,0.6498889711324944,696
validation,segment,1,0.5730337078651685,1.0,0.7285714285714285,102
validation,segment,2,0.7640891218872871,0.8449275362318841,0.8024776324845148,690
validation,segment,3,0.7434094903339191,0.8103448275862069,0.775435380384968,522
validation,segment,4,0.7713717693836978,0.6499162479061976,0.7054545454545454,597
validation,segment,5,0.6355263157894737,0.7252252252252253,0.6774193548387096,666
validation,segment,6,0.4745762711864407,0.9882352941176471,0.6412213740458015,85
validation,segment,7,0.6981132075471698,0.5714285714285714,0.6284501061571125,777
validation,segment,8,0.8918918918918919,0.8222591362126246,0.8556611927398444,602
validation,segment,9,0.9266770670826833,0.8485714285714285,0.8859060402684564,700
validation,clip,0,0.6836734693877551,0.67,0.6767676767676768,100
validation,clip,1,0.9444444444444444,1.0,0.9714285714285714,17
validation,clip,2,0.8425925925925926,0.91,0.875,100
validation,clip,3,0.8369565217391305,0.8953488372093024,0.8651685393258427,86
validation,clip,4,0.9358974358974359,0.7934782608695652,0.8588235294117647,92
validation,clip,5,0.6410256410256411,0.78125,0.704225352112676,96
validation,clip,6,0.7333333333333333,1.0,0.8461538461538461,33
validation,clip,7,0.7708333333333334,0.6166666666666667,0.6851851851851852,120
validation,clip,8,0.9166666666666666,0.8953488372093024,0.9058823529411765,86
validation,clip,9,0.9787234042553191,0.92,0.9484536082474226,100
test,segment,0,0.6475849731663685,0.5171428571428571,0.5750595710881652,700
test,segment,1,0.4307116104868914,0.8582089552238806,0.57356608478803,134
test,segment,2,0.7275064267352185,0.8179190751445087,0.7700680272108843,692
test,segment,3,0.6026490066225165,0.7095516569200779,0.6517457475380484,513
test,segment,4,0.8625,0.6645264847512039,0.7506799637352675,623
test,segment,5,0.7751572327044025,0.7727272727272727,0.7739403453689168,638
test,segment,6,0.6476190476190476,0.9855072463768116,0.7816091954022989,69
test,segment,7,0.7486631016042781,0.963855421686747,0.8427389014296464,581
test,segment,8,0.8365650969529086,0.5471014492753623,0.6615553121577218,552
test,segment,9,0.838855421686747,0.7957142857142857,0.8167155425219942,700
test,clip,0,0.6444444444444445,0.58,0.6105263157894737,100
test,clip,1,0.5,0.8888888888888888,0.64,27
test,clip,2,0.8,0.92,0.8558139534883721,100
test,clip,3,0.6407766990291263,0.7857142857142857,0.7058823529411765,84
test,clip,4,0.9210526315789473,0.7291666666666666,0.813953488372093,96
test,clip,5,0.8,0.8602150537634409,0.8290155440414507,93
test,clip,6,0.8709677419354839,1.0,0.9310344827586207,27
test,clip,7,0.8932038834951457,0.968421052631579,0.9292929292929293,95
test,clip,8,0.9583333333333334,0.5542168674698795,0.7022900763358778,83
test,clip,9,0.9230769230769231,0.84,0.8795811518324608,100
