fold,condition,class_id,class_name,precision,recall,f1,support
2,clean,0,air_conditioner,0.9473684210526315,0.9,0.9230769230769231,20
2,clean,1,car_horn,0.7368421052631579,0.7,0.717948717948718,20
2,clean,2,children_playing,0.8636363636363636,0.95,0.9047619047619048,20
2,clean,3,dog_bark,0.9444444444444444,0.85,0.8947368421052632,20
2,clean,4,drilling,0.9047619047619048,0.95,0.926829268292683,20
2,clean,5,engine_idling,0.8333333333333334,1.0,0.9090909090909091,20
2,clean,6,gun_shot,1.0,1.0,1.0,20
2,clean,7,jackhammer,0.9333333333333333,0.7,0.8,20
2,clean,8,siren,0.9,0.9,0.9,20
2,clean,9,street_music,0.8181818181818182,0.9,0.8571428571428571,20
